conversation_id,condition,turn,analysis_turn,complete_exchange,starter_side,starter_type,speaker_slot,speaker_type,speaker_is_starter,partner_type,text
conv_006cb479-ccd3-40d1-83fb-4b614573f636,human-ai,1.0,1,True,author_1,human,author_1,human,True,ai,There once was a young woman who had trust issues. She had been betrayed by her ex-boyfriend who cheated on her.
conv_006cb479-ccd3-40d1-83fb-4b614573f636,human-ai,1.0,1,True,author_1,human,author_2,ai,False,human,"with her best friend, leaving her feeling shattered and vulnerable. The experience had made her wary of opening up to anyone new, and she found herself constantly questioning the motives of those"
conv_006cb479-ccd3-40d1-83fb-4b614573f636,human-ai,2.0,2,True,author_1,human,author_1,human,True,ai,who claimed they loved her. This made her hard to reach but also very lonely. She was lonely like this for many years but finally she decided
conv_006cb479-ccd3-40d1-83fb-4b614573f636,human-ai,2.0,2,True,author_1,human,author_2,ai,False,human,"to take a chance and start attending social events again, hoping to meet someone who could help her heal and learn to trust once more. It was at one of these events,"
conv_006cb479-ccd3-40d1-83fb-4b614573f636,human-ai,3.0,3,True,author_1,human,author_1,human,True,ai,That she met another young woman just like herself who also had trust issues. They met many times without ever talking much or becoming close.
conv_006cb479-ccd3-40d1-83fb-4b614573f636,human-ai,3.0,3,True,author_1,human,author_2,ai,False,human,"until one evening, when they both found themselves sitting alone at a small café, each lost in their own thoughts. The atmosphere was quiet and intimate, and somehow, it seemed"
conv_006cb479-ccd3-40d1-83fb-4b614573f636,human-ai,4.0,4,True,author_1,human,author_1,human,True,ai,As if they were destined to meet. They started talking and soon found out they had a lot in common. They started meeting more and over time they
conv_006cb479-ccd3-40d1-83fb-4b614573f636,human-ai,4.0,4,True,author_1,human,author_2,ai,False,human,"developed a deep and meaningful connection, one that was built on mutual understanding and respect. They shared their stories, their fears, and their dreams with each other, and as"
conv_006cb479-ccd3-40d1-83fb-4b614573f636,human-ai,5.0,5,True,author_1,human,author_1,human,True,ai,"Time went on, their connection became more than just friendship; it became love. For a long time they"
conv_006cb479-ccd3-40d1-83fb-4b614573f636,human-ai,5.0,5,True,author_1,human,author_2,ai,False,human,"had been afraid to acknowledge the true nature of their feelings, fearing that it might ruin the beautiful bond they had established. But as they looked into each other's eyes, they"
